from,to,value
a_kecil08,starfess,1
Askrlfess,nabibilalala7,1
Ismoyo69,sutanmangarahrp,1
Yudhi30847228,tvOneNews,1
Mujalba,hafuza_syakir,1
ChristhyCB,CrispyPiranha,1
Dolleynw,KompasTV,1
seatodaynews,yoelsiagian,1
DharulFit,SugiKawuloAlit,1
PaberSitorus1,Solid01,1
BudiKasmanto,SugiKawuloAlit,1
ArabBara2,ArabBara2,7
etaqin,jogermeist,1
cekfaktacom,cekfaktacom,1
AraJim95,txtdrimedia,1
LalaWiana,maspiyuaja,1
Kelvind24483597,jaksapedia,1
Hartati44247904,KompasTV,1
Semar17134178,SholikanD,1
babyzxjeje,van_augur27,1
AgamKupie,iIhamzada,1
AnakLokal_24,BeritakanID_com,1
AnakLokal_24,UmarHasibuan77,1
AnakLokal_24,msaid_didu,3
Adhit233,_ekokuntadhi,1
busetcapek,xiaotiing,1
milarosa_99,milarosa_99,1
__SudutPandang,detikcom,1
Puellafahira,SahabatSaber,1
AntonEdan4,RamliRizal,1
Sudimawan1,muftiaditya,1
Ferdysambo1,MCentre69,1
Ferdysambo1,yusuf_dumdum,1
Sudimawan1,detikcom,1
Ferdysambo1,IMCMushroom,1
don31237,msaid_didu,1
IndieJawa,txtdrimedia,1
Dennysiregar7,TaondasiLaia,1
MrsRachelIn,MrsRachelIn,4
Stakof,achokill,1
YovieDjody18,tvOneNews,2
Miss_warawiri,donyardi13,1
Nona51584617,oroh_w,1
tempodotco,torojo3,1
OposisiCerdas,PareParesek,1
WarasWareg,kangbaridin_,1
ninealaine,th3Red01,1
SukijoWong,geloraco,1
Safa_shining,basrol12,1
gusti_prabu2810,hafuza_syakir,1
ahmad02397852,catchmeupid,1
Prasetyo9Hh,edysmerdeka,1
ciboyss,unknown_v89,1
OposisiCerdas,Wahyu86462601,1
addfiq,soen_cak,1
Ivan72576448,graham_asscot,1
ChusnulCh__,gberrboy_id,1
djumelan,tvOneNews,1
MardaniAliSera,igoes_23,1
elkrova,elkrova,1
Sisi59519271,tempodotco,1
Greta_Hutabarat,zoelfick,1
SitompulApul,zarazettirazr,1
_burnce,detikcom,1
Ariefmantoi,VeelaaRhie,1
WiyonoHw,omarmoyo963,1
JKT_TAROT29,detikcom,1
Chikzt,UrutJakartan,1
ZulkifliLubis69,elpoghu,1
Agusta_515,lucky_hafner,1
pashanaim75,tvOneNews,1
XtremeMerch,wrbhakti,1
detikcom,gitskimassie,1
d_edikusuma,detikcom,1
RizalSa19562574,kr1t1kp3d45_pro,1
Dennysiregar7,mentokendil01,1
WahyuFebriant_O,detikcom,1
LaaTAHZ31834379,geloraco,1
CNNIndonesia,Prasetyo9Hh,2
BeritakanID_com,Priagarislurus,1
DamaiHariLubis,dabenone2,1
Cintada16,marpaung913,1
AmanSur34526860,geloraco,1
Greta_Hutabarat,detikcom,1
lelegurame,teguhinvestor,1
korantempo,sanditk55851533,1
marpaung913,tvOneNews,4
AbdullohBaihaqy,keuangannews_id,1
cursedkidd,ruskinurhayadi,1
detikcom,sanditk55851533,1
AAldhiaz,Dennysiregar7,1
AAldhiaz,tempodotco,1
j98fah,moykeyyy,1
AAldhiaz,korantempo,1
AAldhiaz,LordDoel___,1
ArtiHadi,Yulianti0711,1
adefryanky,feldimahendra,1
staners1990,txtdrberseragam,1
lorensiusivand,wordfangs,1
yashadipura,zendryque,1
giginpraginanto,mutajir_mohamat,1
hellodyn,thymesya,1
akhmad_barkah,gembrotzzz,1
Askrlfess,play_tomorrow,1
OposisiCerdas,suhardi1110,1
nurfiadi1,nurfiadi1,1
imelani12z,jaksapedia,1
IiiZahrah,z4r4n,1
